title,year,genre,duration,country,language,director,writer,production_company,actors,avg_vote,votes,budget,usa_gross_income,worldwide_gross_income,metascore,reviews_from_users,reviews_from_critics
The Three Musketeers,1993,"Action, Adventure, Comedy",105,"Austria, UK, USA",English,Stephen Herek,"Alexandre Dumas, David Loughery",Walt Disney Pictures,"Charlie Sheen, Kiefer Sutherland, Chris O'Donnell, Oliver Platt, Tim Curry, Rebecca De Mornay, Gabrielle Anwar, Michael Wincott, Paul McGann, Julie Delpy, Hugh O'Conor, Christopher Adamson, Philip Tan, Erwin Leder, Axel Anselm",6.4,47590,30000000,53898845,53898845,43.0,155.0,36.0
Tombstone,1993,"Action, Biography, Drama",130,USA,"English, Latin","George P. Cosmatos, Kevin Jarre",Kevin Jarre,Hollywood Pictures,"Kurt Russell, Val Kilmer, Sam Elliott, Bill Paxton, Powers Boothe, Michael Biehn, Charlton Heston, Jason Priestley, Jon Tenney, Stephen Lang, Thomas Haden Church, Dana Delany, Paula Malcomson, Lisa Collins, Dana Wheeler-Nicholson",7.8,117790,25000000,56505065,56505065,50.0,486.0,93.0
True Romance,1993,"Crime, Drama, Romance",119,"USA, France","English, Italian",Tony Scott,Quentin Tarantino,Morgan Creek Entertainment,"Christian Slater, Patricia Arquette, Dennis Hopper, Val Kilmer, Gary Oldman, Brad Pitt, Christopher Walken, Bronson Pinchot, Samuel L. Jackson, Michael Rapaport, Saul Rubinek, Conchata Ferrell, James Gandolfini, Anna Levine, Victor Argo",7.9,192810,13000000,12281551,12281551,59.0,506.0,147.0
Wayne's World 2,1993,"Comedy, Music",95,USA,"English, Cantonese",Stephen Surjik,"Mike Myers, Mike Myers",Paramount Pictures,"Mike Myers, Dana Carvey, Christopher Walken, Tia Carrere, Chris Farley, Ralph Brown, James Hong, Rip Taylor, Steven Tyler, Joe Perry, Brad Whitford, Tom Hamilton, Joey Kramer, Lee Tergesen, Dan Bell",6.2,73222,40000000,48197805,48197805,60.0,85.0,42.0
What's Eating Gilbert Grape,1993,Drama,118,USA,English,Lasse Hallström,"Peter Hedges, Peter Hedges",Paramount Pictures,"Johnny Depp, Leonardo DiCaprio, Juliette Lewis, Mary Steenburgen, Darlene Cates, Laura Harrington, Mary Kate Schellhardt, Kevin Tighe, John C. Reilly, Crispin Glover, Penelope Branning, Tim Green, Susan Loughran, Robert B. Hedges, Mark Jordan",7.8,201254,11000000,10032765,10032765,73.0,326.0,85.0
3 Ninjas Kick Back,1994,"Family, Comedy, Action",93,"USA, Japan",English,Charles T. Kanganis,"Sang-ok Shin, Mark Saltzman",Ben-Ami/Leeds Productions,"Victor Wong, Max Elliott Slade, Sean Fox, J. Evan Bonifant, Caroline Junko King, Dustin Nguyen, Alan McRae, Margarita Franco, Jason Schombing, Angelo Tiffe, Sab Shimono, Don Stark, Kellye Nakahara, Scott Caudill, Tommy Clark",4.5,7998,20000000,11798854,11798854,39.0,25.0,7.0
Ace Ventura: Pet Detective,1994,Comedy,86,USA,English,Tom Shadyac,"Jack Bernstein, Jack Bernstein",Morgan Creek Entertainment,"Jim Carrey, Courteney Cox, Sean Young, Tone Loc, Dan Marino, Noble Willingham, Troy Evans, Raynor Scheine, Udo Kier, Frank Adonis, Tiny Ron, David Margulies, John Capodice, Judy Clayton, Bill Zuckert",6.9,260548,15000000,72217396,107217396,37.0,268.0,79.0
Amateur,1994,"Comedy, Crime, Drama",105,"USA, UK, France",English,Hal Hartley,Hal Hartley,American Playhouse,"Isabelle Huppert, Martin Donovan, Elina Löwensohn, Damian Young, Chuck Montgomery, Dave Simonds, Pamela Stewart, Erica Gimpel, Jan Leslie Harding, Terry Alexander, Holt McCallany, Hugh Palmer, Michael Imperioli, Angel Caban, Emmanuel Xuereb",6.9,5216,2300000,757088,757088,53.0,36.0,35.0
Angels in the Outfield,1994,"Comedy, Family, Fantasy",102,USA,English,William Dear,"Dorothy Kingsley, George Wells",Caravan Pictures,"Danny Glover, Brenda Fricker, Tony Danza, Christopher Lloyd, Ben Johnson, Jay O. Sanders, Joseph Gordon-Levitt, Milton Davis Jr., Taylor Negron, Tony Longo, Neal McDonough, Stoney Jackson, Adrien Brody, Tim Conlon, Matthew McConaughey",6.1,27192,24000000,50236831,50236831,44.0,60.0,23.0
Barcelona,1994,"Comedy, Drama, Romance",101,USA,"English, Spanish",Whit Stillman,Whit Stillman,Barcelona Films,"Taylor Nichols, Chris Eigeman, Tushka Bergen, Mira Sorvino, Pep Munné, Hellena Taylor, Núria Badia, Thomas Gibson, Jack Gilpin, Pere Ponce, Laura López, Francis Creighton, Edmon Roch, Diana Sassen, Àngels Bassas",7.0,5339,3200000,7266973,7266973,74.0,50.0,42.0
Beverly Hills Cop III,1994,"Action, Comedy, Crime",104,USA,English,John Landis,"Danilo Bach, Daniel Petrie Jr.",Paramount Pictures,"Eddie Murphy, Jon Tenney, Joey Travolta, Eugene Collier, Jimmy Ortega, Ousaun Elam, Ray Lykins, Tim Gilbert, Rick Avery, Gilbert R. Hill, Dick Purtan, Fred Asparagus, Louis Lombardi, Lindsey Ginter, Timothy Carhart",5.6,72027,50000000,42614912,119208989,16.0,134.0,39.0
City Slickers II: The Legend of Curly's Gold,1994,Comedy,116,USA,English,Paul Weiland,"Lowell Ganz, Babaloo Mandel",Castle Rock Entertainment,"Billy Crystal, Daniel Stern, Jon Lovitz, Jack Palance, Patricia Wettig, Pruitt Taylor Vince, Bill McKinney, Lindsay Crystal, Beth Grant, Noble Willingham, David Paymer, Josh Mostel, Jayne Meadows, Alan Charof, Kenneth S. Allen",5.5,17229,40000000,43622150,43622150,43.0,47.0,14.0
Clear and Present Danger,1994,"Action, Crime, Drama",141,"USA, Mexico",English,Phillip Noyce,"Tom Clancy, Donald E. Stewart",Mace Neufeld Productions,"Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida, Henry Czerny, Harris Yulin, Donald Moffat, Miguel Sandoval, Benjamin Bratt, Raymond Cruz, Dean Jones, Thora Birch, Ann Magnuson, Hope Lange, Tom Tammi",6.9,83510,62000000,122187717,215887717,74.0,147.0,50.0
Clerks,1994,Comedy,92,USA,English,Kevin Smith,Kevin Smith,View Askew Productions,"Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti, Lisa Spoonauer, Jason Mewes, Kevin Smith, Scott Mosier, Scott Schiaffo, Al Berkowitz, Walter Flanagan, Ed Hapstak, Lee Bendick, David Klein, Pattijean Csik, Ken Clark",7.7,204233,27000,3151130,3151130,70.0,637.0,135.0
The Client,1994,"Crime, Drama, Mystery",119,USA,English,Joel Schumacher,"John Grisham, Akiva Goldsman",Warner Bros.,"Susan Sarandon, Tommy Lee Jones, Mary-Louise Parker, Anthony LaPaglia, J.T. Walsh, Anthony Edwards, Brad Renfro, Will Patton, Bradley Whitford, Anthony Heald, Kim Coates, Kimberly Scott, David Speck, William H. Macy, Ossie Davis",6.7,55903,45000000,92115211,117615211,65.0,103.0,48.0
Color of Night,1994,"Mystery, Romance, Thriller",121,USA,English,Richard Rush,"Billy Ray, Matthew Chapman",Cinergi Pictures Entertainment,"Bruce Willis, Jane March, Rubén Blades, Lesley Ann Warren, Scott Bakula, Brad Dourif, Lance Henriksen, Kevin J. O'Connor, Andrew Lowery, Eriq La Salle, Jeff Corey, Kathleen Wilhoite, Shirley Knight, John Bower, Avi Korein",5.2,21693,40000000,19726050,19726050,36.0,119.0,60.0
Crooklyn,1994,"Comedy, Drama",115,USA,"English, Italian, Spanish",Spike Lee,"Joie Lee, Joie Lee",Universal Pictures,"Alfre Woodard, Delroy Lindo, David Patrick Kelly, Zelda Harris, Carlton Williams, Sharif Rashed, Tse-Mach Washington, Christopher Knowings, José Zúñiga, Isaiah Washington, Ivelka Reyes, Spike Lee, N. Jeremi Duru, Frances Foster, Norman Matlock",7.0,8350,14000000,13642861,13642861,65.0,44.0,32.0
The Crow,1994,"Action, Drama, Fantasy",102,USA,English,Alex Proyas,"James O'Barr, David J. Schow",Crowvision Inc.,"Brandon Lee, Rochelle Davis, Ernie Hudson, Michael Wincott, Bai Ling, Sofia Shinas, Anna Levine, David Patrick Kelly, Angel David, Laurence Mason, Michael Massee, Tony Todd, Jon Polito, Bill Raymond, Marco Rodríguez",7.6,158213,23000000,50693129,50693129,71.0,585.0,143.0
Death Wish V: The Face of Death,1994,"Action, Crime, Drama",95,"Canada, USA",English,Allan A. Goldstein,"Brian Garfield, Michael Colleary",21st Century Films,"Charles Bronson, Lesley-Anne Down, Michael Parks, Chuck Shamata, Kevin Lund, Robert Joy, Saul Rubinek, Miguel Sandoval, Kenneth Welsh, Lisa Inouye, Erica Fairfield, Jefferson Mappin, Michael Dunston, Claire Rankin, Sharolyn Sparrow",4.9,6487,5000000,1702394,1702394,25.0,87.0,45.0
Death and the Maiden,1994,"Drama, Mystery, Thriller",103,"UK, France",English,Roman Polanski,"Ariel Dorfman, Rafael Yglesias",Fine Line Features,"Sigourney Weaver, Ben Kingsley, Stuart Wilson, Krystia Mova, Jonathan Vega, Rodolphe Vega, Gilberto Cortés, Jorge Cruz, Carlos Moreno, Eduardo Valenzuela, Sergio Ortega Alvarado",7.3,20880,12000000,3103716,3103716,72.0,78.0,62.0
Disclosure,1994,"Drama, Thriller",128,USA,English,Barry Levinson,"Michael Crichton, Paul Attanasio",Warner Bros.,"Michael Douglas, Demi Moore, Donald Sutherland, Caroline Goodall, Roma Maffia, Dylan Baker, Rosemary Forsyth, Dennis Miller, Suzie Plakson, Nicholas Sadler, Jacqueline Kim, Joe Urla, Michael Chieffo, Joseph Attanasio, Faryn Einhorn",6.1,43567,55000000,83015089,214015089,58.0,103.0,60.0
Dumb and Dumber,1994,Comedy,107,USA,"English, Swedish, German","Peter Farrelly, Bobby Farrelly","Peter Farrelly, Bennett Yellin",New Line Cinema,"Jim Carrey, Jeff Daniels, Lauren Holly, Mike Starr, Karen Duffy, Charles Rocket, Victoria Rowell, Joe Baker, Hank Brandt, Teri Garr, Brady Bluhm, Cam Neely, Felton Perry, Brad Lockerman, Rob Moran",7.3,335047,17000000,127175374,247275374,41.0,454.0,92.0
Dung che sai duk,1994,"Action, Drama",100,"Hong Kong, Taiwan","Mandarin, Cantonese",Kar-Wai Wong,"Louis Cha, Kar-Wai Wong",Jet Tone Production,"Brigitte Lin, Leslie Cheung, Maggie Cheung, Tony Chiu-Wai Leung, Jacky Cheung, Tony Ka Fai Leung, Li Bai, Carina Lau, Charlie Yeung, Joey Wang",7.2,12180,22400000,174273,1912490,69.0,45.0,127.0
Ed Wood,1994,"Biography, Comedy, Drama",127,USA,English,Tim Burton,"Rudolph Grey, Scott Alexander",Touchstone Pictures,"Johnny Depp, Martin Landau, Sarah Jessica Parker, Patricia Arquette, Jeffrey Jones, G.D. Spradlin, Vincent D'Onofrio, Bill Murray, Mike Starr, Max Casella, Brent Hinkley, Lisa Marie, George 'The Animal' Steele, Juliet Landau, Clive Rosengren",7.8,159365,18000000,5887457,5887457,70.0,450.0,167.0
Exotica,1994,Drama,103,Canada,"English, Hebrew",Atom Egoyan,Atom Egoyan,Alliance Entertainment,"Bruce Greenwood, Mia Kirshner, Don McKellar, Elias Koteas, Arsinée Khanjian, Victor Garber, Sarah Polley, David Hemblen, Calvin Green, Jack Blum, Ken McDougall, Peter Krantz, Billy Merasty, Damon D'Oliveira",7.1,16906,1420000,4221036,4221036,71.0,91.0,46.0
The Favor,1994,"Comedy, Romance",97,USA,English,Donald Petrie,"Sara Parriott, Josann McGibbon",Nelson Entertainment,"Harley Jane Kozak, Elizabeth McGovern, Bill Pullman, Brad Pitt, Larry Miller, Ken Wahl, Ginger Orsi, Leigh Ann Orsi, Felicia Robertson, Kenny Twomey, Florence Schauffler, Elaine Mee, John Horn, Wilma Bergheim, Mary Marsh",5.2,2417,13000000,3134381,3134381,51.0,19.0,13.0
The Flintstones,1994,"Comedy, Family, Fantasy",91,USA,English,Brian Levant,"Tom S. Parker, Jim Jennewein",Universal Pictures,"John Goodman, Elizabeth Perkins, Rick Moranis, Rosie O'Donnell, Kyle MacLachlan, Halle Berry, Elizabeth Taylor, Dann Florek, Richard Moll, Irwin Keyes, Jonathan Winters, Harvey Korman, Elaine Silver, Melanie Silver, Hlynur Sigurðsson",4.9,71604,46000000,130531208,341631208,38.0,104.0,45.0
Forrest Gump,1994,"Drama, Romance",142,USA,English,Robert Zemeckis,"Winston Groom, Eric Roth",Paramount Pictures,"Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys, Harold G. Herthum, George Kelly, Bob Penny, John Randall, Sam Anderson, Margo Moorer, Ione M. Telech, Christine Seabrook, John Worsham, Peter Dobson, Siobhan Fallon Hogan",8.8,1662528,55000000,330455270,678151134,82.0,2050.0,163.0
Four Weddings and a Funeral,1994,"Comedy, Drama, Romance",117,UK,"English, British Sign Language",Mike Newell,Richard Curtis,PolyGram Filmed Entertainment,"Hugh Grant, James Fleet, Simon Callow, John Hannah, Kristin Scott Thomas, David Bower, Charlotte Coleman, Andie MacDowell, Timothy Walker, Sara Crowe, Ronald Herdman, Elspet Gray, Philip Voss, Rupert Vansittart, Nicola Walker",7.0,129909,4400000,52700832,245700832,81.0,226.0,98.0
Fresh,1994,"Crime, Drama, Thriller",114,"USA, France","English, Spanish",Boaz Yakin,Boaz Yakin,Lumière Pictures,"Sean Nelson, Giancarlo Esposito, Samuel L. Jackson, N'Bushe Wright, Ron Brice, Jean-Claude La Marre, José Zúñiga, Luis Lantigua, Yul Vazquez, Cheryl Freeman, Anthony Thomas, Curtis McClarin, Charles Malik Whitfield, Víctor González, Guillermo Díaz",7.6,11391,3500000,8094616,8094616,81.0,94.0,34.0
Guarding Tess,1994,"Comedy, Drama",96,USA,English,Hugh Wilson,"Hugh Wilson, Pj Torokvei",Channel Films,"Shirley MacLaine, Nicolas Cage, Austin Pendleton, Edward Albert, James Rebhorn, Richard Griffiths, John Roselius, David Graf, Don Yesso, James Lally, Brant von Hoffman, Harry Lennix, Susan Blommaert, Dale Dye, James Handy",6.2,14815,20000000,27058304,27058304,46.0,52.0,24.0
Highlander III: The Sorcerer,1994,"Action, Fantasy, Romance",99,"UK, France, Canada",English,Andrew Morahan,"Gregory Widen, Brad Mirman",Fallingcloud,"Christopher Lambert, Mario Van Peebles, Deborah Kara Unger, Mako, Raoul Max Trujillo, Jean-Pierre Pérusse, Martin Neufeld, Frederick Y. Okimura, Daniel Do, Gabriel Kakon, Louis Bertignac, Michael Jayston, Zhenhu Han, Akira Inoue, Darcy Laurie",4.5,18932,26000000,12303080,12303080,28.0,81.0,42.0
The Hudsucker Proxy,1994,"Comedy, Drama, Fantasy",111,"UK, Germany, USA","English, Finnish","Joel Coen, Ethan Coen","Ethan Coen, Joel Coen",PolyGram Filmed Entertainment,"Tim Robbins, Jennifer Jason Leigh, Paul Newman, Charles Durning, John Mahoney, Jim True-Frost, Bill Cobbs, Bruce Campbell, Harry Bugin, John Seitz, Joe Grifasi, Roy Brocksmith, John Wylie, I.M. Hobson, Gary Allen",7.2,73730,40000000,2816518,2816518,53.0,224.0,95.0
I.Q.,1994,"Comedy, Romance",100,USA,"English, German",Fred Schepisi,"Andy Breckman, Andy Breckman",Paramount Pictures,"Tim Robbins, Meg Ryan, Walter Matthau, Lou Jacobi, Gene Saks, Joseph Maher, Stephen Fry, Tony Shalhoub, Frank Whaley, Charles Durning, Keene Curtis, Alice Playten, Danny Zorn, Helen Hanft, Roger Berlind",6.2,22506,25000000,26381221,26381221,66.0,77.0,33.0
Interview with the Vampire: The Vampire Chronicles,1994,"Drama, Horror",123,USA,"English, French",Neil Jordan,"Anne Rice, Anne Rice",Geffen Pictures,"Brad Pitt, Christian Slater, Virginia McCollam, John McConnell, Tom Cruise, Mike Seelig, Bellina Logan, Thandie Newton, Lyla Hay Owen, Lee E. Scharfstein, Indra Ové, Helen McCrory, Monte Montague, Kirsten Dunst, Nathalie Bloch-Lainé",7.6,279239,60000000,105264608,223664608,59.0,443.0,136.0
It Could Happen to You,1994,"Comedy, Drama, Romance",101,USA,"English, Spanish",Andrew Bergman,Jane Anderson,TriStar Pictures,"Nicolas Cage, Bridget Fonda, Rosie Perez, Wendell Pierce, Isaac Hayes, Víctor Rojas, Seymour Cassel, Stanley Tucci, J.E. Freeman, Red Buttons, Richard Jenkins, Robert Dorfman, Charles Busch, Beatrice Winde, Ginny Yang",6.3,32840,20000000,37939757,37939757,64.0,84.0,37.0
The Jungle Book,1994,"Adventure, Family, Romance",111,USA,English,Stephen Sommers,"Rudyard Kipling, Ron Yanover",Vegahom Europe,"Jason Scott Lee, Cary Elwes, Lena Headey, Sam Neill, John Cleese, Jason Flemyng, Stefan Kalipha, Ron Donachie, Anirudh Agarwal, Faran Tahir, Sean Naegeli, Joanna Wolff, Liza Walker, Rachel Robertson, Natalie Morse",6.0,15489,27000000,43229904,43229904,63.0,42.0,23.0
Junior,1994,"Comedy, Romance, Sci-Fi",109,USA,English,Ivan Reitman,"Kevin Wade, Chris Conrad",Universal Pictures,"Arnold Schwarzenegger, Danny DeVito, Emma Thompson, Frank Langella, Pamela Reed, Aida Turturro, James Eckhouse, Megan Cavanagh, Welker White, Kathleen Chalfant, Merle Kennedy, Judy Collins, Mindy Seeger, Christopher Meloni, Antoinette Peragine",4.6,61989,60000000,36763355,108431355,59.0,87.0,41.0
The Last Seduction,1994,"Crime, Drama, Romance",110,"UK, USA",English,John Dahl,Steve Barancik,Incorporated Television Company (ITC),"Linda Fiorentino, Bill Pullman, Michael Raysses, Zack Phifer, Peter Berg, Brien Varady, Dean Norris, Donna W. Scott, Mik Scriba, J.T. Walsh, Erik-Anders Nilsson, Patricia R. Caprio, Herb Mitchell, Bill Nunn, Renee Rogers",7.0,19476,2500000,5842603,5842603,85.0,136.0,78.0
Legends of the Fall,1994,"Drama, Romance, War",133,USA,"English, Cornish",Edward Zwick,"Susan Shilliday, William D. Wittliff",TriStar Pictures,"Brad Pitt, Anthony Hopkins, Aidan Quinn, Julia Ormond, Henry Thomas, Karina Lombard, Tantoo Cardinal, Gordon Tootoosis, Paul Desmond, Christina Pickles, Robert Wisden, John Novak, Kenneth Welsh, Bill Dow, Sam Sarkar",7.5,136762,30000000,66638883,160638883,45.0,375.0,63.0
The Lion King,1994,"Animation, Adventure, Drama",88,USA,"English, Swahili, Xhosa, Zulu","Roger Allers, Rob Minkoff","Irene Mecchi, Jonathan Roberts",Walt Disney Pictures,"Rowan Atkinson, Matthew Broderick, Niketa Calame-Harris, Jim Cummings, Whoopi Goldberg, Robert Guillaume, Jeremy Irons, James Earl Jones, Moira Kelly, Nathan Lane, Zoe Leader, Cheech Marin, Ernie Sabella, Madge Sinclair, Jonathan Taylor Thomas",8.5,871749,45000000,422783777,968511805,88.0,906.0,225.0
Little Odessa,1994,"Crime, Drama",98,USA,English,James Gray,James Gray,Fine Line Features,"Tim Roth, Edward Furlong, Moira Kelly, Vanessa Redgrave, Paul Guilfoyle, Natalya Andreychenko, Maximilian Schell, David Vadim, Mina Bern, Boris McGiver, Mohammed Ghaffari, Michael Khmurov, Dmitry Preyers, David Ross, Ron Brice",6.7,6904,2300000,1095885,1095885,62.0,41.0,33.0
The Little Rascals,1994,"Comedy, Family, Romance",82,USA,English,Penelope Spheeris,"Penelope Spheeris, Robert Wolterstorff",Universal Pictures,"Travis Tedford, Kevin Jamal Woods, Jordan Warkol, Zachary Mabry, Ross Bagley, Courtland Mead, Sam Saletta, Blake Jeremy Collins, Blake McIver Ewing, Juliette Brewer, Heather Karasek, Brittany Ashton Holmes, Bug Hall, Elmer, Petey",6.3,40479,23000000,52125282,67308282,45.0,56.0,14.0
Little Women,1994,"Drama, Family, Romance",115,"USA, Canada","English, German, French",Gillian Armstrong,"Louisa May Alcott, Robin Swicord",Columbia Pictures,"Winona Ryder, Gabriel Byrne, Trini Alvarado, Samantha Mathis, Kirsten Dunst, Claire Danes, Christian Bale, Eric Stoltz, John Neville, Mary Wickes, Susan Sarandon, Florence Paterson, Robin Collins, Corrie Clark, Rebecca Toolan",7.3,45053,18000000,50083616,50083616,87.0,153.0,39.0
Love Affair,1994,"Comedy, Drama, Romance",108,USA,English,Glenn Gordon Caron,"Mildred Cram, Leo McCarey",Mulholland Productions,"Warren Beatty, Annette Bening, Katharine Hepburn, Garry Shandling, Chloe Webb, Pierce Brosnan, Kate Capshaw, Paul Mazursky, Brenda Vaccaro, Glenn Shadix, Barry Miller, Harold Ramis, Linda Wallem, Meagen Fay, Ray Girardin",6.0,4215,60000000,18272894,18272894,55.0,45.0,14.0
Léon,1994,"Action, Crime, Drama",110,France,"English, Italian, French",Luc Besson,Luc Besson,Gaumont,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello, Peter Appel, Willi One Blood, Don Creech, Keith A. Glascoe, Randolph Scott, Michael Badalucco, Ellen Greene, Elizabeth Regen, Carl J. Matusovich, Frank Senger, Lucius Wyatt Cherokee",8.5,955272,19550000,19501238,19501238,64.0,1039.0,129.0
The Mask,1994,"Comedy, Crime, Fantasy",101,USA,"English, Swedish",Chuck Russell,"Michael Fallon, Mark Verheiden",Dark Horse Entertainment,"Jim Carrey, Peter Riegert, Peter Greene, Amy Yasbeck, Richard Jeni, Orestes Matacena, Tim Bagley, Nancy Fish, Johnny Williams, Reg E. Cathey, Jim Doughan, Denis Forest, Cameron Diaz, Joseph Alfieri, B.J. Barie",6.9,321517,23000000,119938730,351583407,56.0,255.0,70.0
Maverick,1994,"Action, Adventure, Comedy",127,USA,English,Richard Donner,"Roy Huggins, William Goldman",Donner/Shuler-Donner Productions,"Mel Gibson, Jodie Foster, James Garner, Graham Greene, Alfred Molina, James Coburn, Dub Taylor, Geoffrey Lewis, Paul L. Smith, Dan Hedaya, Dennis Fimple, Denver Pyle, Clint Black, Max Perlich, Art LaFleur",7.0,96569,75000000,101631272,183031272,62.0,121.0,46.0
Mixed Nuts,1994,"Comedy, Drama",97,USA,English,Nora Ephron,"Nora Ephron, Delia Ephron",TriStar Pictures,"Steve Martin, Madeline Kahn, Robert Klein, Anthony LaPaglia, Juliette Lewis, Rob Reiner, Adam Sandler, Liev Schreiber, Rita Wilson, Parker Posey, Jon Stewart, Joely Fisher, Steven Randazzo, Christine Cavanaugh, Henry Brown",5.5,9518,15000000,6821850,6821850,14.0,109.0,25.0
Mrs. Parker and the Vicious Circle,1994,"Biography, Drama",125,"USA, Canada",English,Alan Rudolph,"Alan Rudolph, Randy Sue Coburn",Fine Line Features,"Jennifer Jason Leigh, Campbell Scott, Matthew Broderick, Peter Gallagher, Jennifer Beals, Andrew McCarthy, Wallace Shawn, Martha Plimpton, Sam Robards, Lili Taylor, James Le Gros, Gwyneth Paltrow, Nick Cassavetes, David Thornton, Heather Graham",6.4,4090,7000000,2144667,2144667,66.0,46.0,26.0
Muriel's Wedding,1994,"Comedy, Drama",106,"Australia, France",English,P.J. Hogan,P.J. Hogan,CiBy 2000,"Sophie Lee, Roz Hammond, Toni Collette, Belinda Jarrett, Pippa Grandison, Bill Hunter, Jeanie Drynan, Dan Wyllie, Gabby Millgate, Gennie Nevinson, Rachel Griffiths, Matt Day, Chris Haywood, Daniel Lapaine, Susan Prior",7.2,32859,9000000,15119639,15482277,63.0,168.0,58.0
